City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
79,Pingliang,CN,35.5392,106.6861,49.35,62,87,4.41,overcast clouds
80,Mangit,UZ,40.5971,70.9607,64.35,65,99,1.77,overcast clouds
81,Kavaratti,IN,10.5669,72.642,81.59,79,100,22.3,overcast clouds
82,Clyde River,CA,70.4692,-68.5914,25.03,80,75,12.66,broken clouds
83,Geraldton,AU,-28.7667,114.6,55.81,94,68,10.36,broken clouds
84,Moroto,UG,2.5345,34.6666,75.6,49,47,13.6,scattered clouds
85,Cilegon,ID,-6.0174,106.0538,80.94,78,81,2.48,broken clouds
86,Nanortalik,GL,60.1432,-45.2371,32.54,78,82,7.67,broken clouds
87,Port-Cartier,CA,50.0334,-66.8654,62.82,49,7,3.06,clear sky
88,Beringovskiy,RU,63.05,179.3167,34.52,97,83,1.9,broken clouds
89,Churapcha,RU,62.0025,132.4325,27.81,95,92,6.78,overcast clouds
90,Mahebourg,MU,-20.4081,57.7,75.49,73,75,6.91,broken clouds
91,Taltal,CL,-25.4,-70.4833,65.46,66,0,6.17,clear sky
92,Wanning,CN,18.8003,110.3967,79.3,88,74,4.68,broken clouds
93,Severo-Kurilsk,RU,50.6789,156.125,37.72,94,100,24.67,overcast clouds
94,Sola,VU,-13.8833,167.55,79.54,72,97,15.97,overcast clouds
95,Cabanas,CU,22.9758,-82.9219,83.32,59,4,12.97,clear sky
96,Laurel,US,39.0993,-76.8483,71.82,96,100,6.91,overcast clouds
97,Limon,CR,10.0,-83.0333,84.09,74,40,11.5,scattered clouds
98,Bontang,ID,0.1333,117.5,77.99,86,100,1.14,overcast clouds
99,Saskylakh,RU,71.9167,114.0833,19.94,91,99,8.39,overcast clouds
100,Hithadhoo,MV,-0.6,73.0833,83.3,69,67,9.22,broken clouds
101,La Piedad,MX,20.35,-102.0,88.11,26,21,1.48,few clouds
102,Kargasok,RU,59.0556,80.8572,62.11,46,97,5.95,overcast clouds
103,Constitucion,CL,-35.3333,-72.4167,59.45,45,100,5.53,overcast clouds
104,Qaanaaq,GL,77.484,-69.3632,19.71,68,44,1.92,scattered clouds
105,Epe,NG,6.5841,3.9834,84.67,71,99,7.38,overcast clouds
106,Esperance,AU,-33.8667,121.9,58.23,73,18,21.41,few clouds
107,Konevo,RU,62.1215,39.3192,48.88,82,84,4.61,broken clouds
108,Plastun,RU,44.7561,136.2939,45.05,78,100,6.73,overcast clouds
109,Cururupu,BR,-1.8283,-44.8683,86.9,62,67,7.94,moderate rain
110,Carnarvon,AU,-24.8667,113.6333,66.09,48,0,16.58,clear sky
111,Fremont,US,37.5483,-121.9886,75.2,64,0,5.01,clear sky
112,Cherskiy,RU,68.75,161.3,34.54,99,100,7.87,snow
113,Deming,US,32.2687,-107.7586,83.21,5,0,10.22,clear sky
114,Singaparna,ID,-7.3515,108.111,73.71,96,100,1.59,overcast clouds
115,Juneau,US,58.3019,-134.4197,44.83,91,100,2.62,overcast clouds
116,Puerto Leguizamo,CO,-0.1934,-74.7819,78.75,91,91,2.21,overcast clouds
117,Machali,CL,-34.1833,-70.6667,45.68,87,100,10.36,mist
118,Newport,GB,51.5877,-2.9984,69.69,57,18,1.34,few clouds
119,Saint-Philippe,RE,-21.3585,55.7679,72.99,78,67,13.02,light rain
120,Faya,SA,18.3851,42.4509,77.11,14,27,14.85,scattered clouds
121,Lorengau,PG,-2.0226,147.2712,80.98,71,18,4.14,few clouds
122,Puerto Ayora,EC,-0.7393,-90.3518,78.76,95,25,1.99,scattered clouds
123,Alofi,NU,-19.0595,-169.9187,73.29,68,100,9.22,overcast clouds
124,Gizo,SB,-8.103,156.8419,81.3,78,33,4.85,scattered clouds
125,Bluff,NZ,-46.6,168.3333,43.81,74,100,6.58,overcast clouds
126,Sobolevo,RU,54.4299,31.8996,47.53,93,100,9.1,light rain
127,Butaritari,KI,3.0707,172.7902,80.51,75,98,8.08,overcast clouds
128,Luderitz,NA,-26.6481,15.1594,61.61,60,0,14.34,clear sky
129,Torbay,CA,47.6666,-52.7314,39.27,95,100,13.8,light rain
130,Nouadhibou,MR,20.931,-17.0347,85.98,42,100,16.11,overcast clouds
131,Banjar,ID,-8.19,114.9675,78.01,89,62,1.68,broken clouds
132,Coquimbo,CL,-29.9533,-71.3436,58.73,77,40,3.44,scattered clouds
133,Bedford,GB,52.1346,-0.4663,71.58,42,0,3.44,clear sky
134,Coihaique,CL,-45.5752,-72.0662,49.95,62,20,4.61,few clouds
135,Sandakan,MY,5.8402,118.1179,78.48,88,20,3.44,few clouds
136,Deputatskiy,RU,69.3,139.9,9.81,96,100,2.01,overcast clouds
137,Shingu,JP,33.7333,135.9833,57.22,74,81,6.53,broken clouds
138,Avarua,CK,-21.2078,-159.775,76.64,84,100,28.34,moderate rain
139,Victoria,HK,22.2855,114.1577,77.38,92,99,15.99,overcast clouds
140,Tezu,IN,27.9167,96.1667,71.53,98,100,4.0,overcast clouds
141,Enshi,CN,30.3,109.4833,52.77,96,100,0.92,overcast clouds
142,Sao Filipe,CV,14.8961,-24.4956,78.35,63,66,5.44,broken clouds
143,Fukue,JP,32.6881,128.8419,63.84,51,80,22.66,broken clouds
144,Yakeshi,CN,49.2833,120.7333,43.97,59,80,7.52,broken clouds
145,Saint-Augustin,CA,51.226,-58.6502,49.03,66,89,3.65,overcast clouds
146,Ancud,CL,-41.8697,-73.8203,54.25,67,43,3.98,scattered clouds
147,Winnemucca,US,40.973,-117.7357,63.86,37,17,8.84,few clouds
148,Lander,US,42.833,-108.7307,56.98,45,100,4.7,overcast clouds
149,Sinop,TR,41.7711,34.8709,59.49,76,81,3.02,broken clouds
150,Namibe,AO,-15.1961,12.1522,73.89,64,1,7.47,clear sky
151,Grand Gaube,MU,-20.0064,57.6608,73.38,72,4,3.0,clear sky
152,Novikovo,RU,51.1537,37.8879,53.89,89,100,10.65,moderate rain
153,Shimoda,JP,34.6667,138.95,63.1,83,72,7.81,broken clouds
154,Hilo,US,19.7297,-155.09,71.62,94,71,1.01,broken clouds
155,Hobyo,SO,5.3505,48.5268,81.73,82,79,26.37,broken clouds
156,Belmonte,BR,-15.8631,-38.8828,77.18,85,88,11.1,overcast clouds
157,East London,ZA,-33.0153,27.9116,64.67,71,51,11.05,broken clouds
158,Rabaul,PG,-4.1967,152.1721,78.64,79,21,2.77,few clouds
159,Cabo San Lucas,MX,22.8909,-109.9124,85.6,71,53,3.0,broken clouds
160,Weihe,CN,32.9952,105.3247,50.18,74,100,4.63,overcast clouds
161,Husavik,IS,66.0449,-17.3389,40.86,78,99,16.11,overcast clouds
162,Pinar Del Rio,CU,22.4175,-83.6981,90.9,32,0,2.8,clear sky
163,San Policarpo,PH,12.1791,125.5072,81.5,82,74,7.45,light rain
164,Tinskoy,RU,56.1525,96.9161,55.49,38,13,2.98,few clouds
165,Kindu,CD,-2.95,25.95,78.19,70,75,3.53,broken clouds
