City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Beloha,MG,2022-05-08 01:58:35,-25.1667,45.05,67.41,88,37,2.68
68,Dodola,ET,2022-05-08 01:58:35,6.9833,39.1833,50.81,72,56,1.57
69,Komsomolskiy,UZ,2022-05-08 01:57:27,40.4272,71.7189,70.52,52,0,6.91
70,Sambava,MG,2022-05-08 01:58:36,-14.2667,50.1667,72.88,91,31,8.19
71,Bartica,GY,2022-05-08 01:58:37,6.4,-58.6167,77.32,99,83,2.1
72,Kutum,SD,2022-05-08 01:58:37,14.2,24.6667,71.33,12,100,6.58
73,Tiznit,MA,2022-05-08 01:58:38,29.5833,-9.5,74.97,17,27,4.68
74,Saint George,US,2022-05-08 01:58:39,37.1041,-113.5841,86.95,15,99,13.0
75,Vardo,NO,2022-05-08 01:58:39,70.3705,31.1107,35.58,80,100,26.46
76,Poddorye,RU,2022-05-08 01:58:40,57.4695,31.1156,48.29,97,100,7.49
77,Clyde River,CA,2022-05-08 01:57:49,70.4692,-68.5914,19.63,93,100,3.44
78,Bathsheba,BB,2022-05-08 01:58:41,13.2167,-59.5167,81.21,78,40,11.5
79,Castro,BR,2022-05-08 01:58:41,-24.7911,-50.0119,48.49,97,58,4.7
80,Oelde,DE,2022-05-08 01:58:42,51.8167,8.15,53.11,87,37,6.89
81,Srednekolymsk,RU,2022-05-08 01:58:42,67.45,153.6833,28.83,84,42,8.03
82,Mataura,NZ,2022-05-08 01:58:43,-46.1927,168.8643,58.48,96,100,2.01
83,Provideniya,RU,2022-05-08 01:58:44,64.3833,-173.3,33.17,92,100,7.81
84,Deputatskiy,RU,2022-05-08 01:56:15,69.3,139.9,17.42,69,99,3.44
85,Mago,RU,2022-05-08 01:58:44,53.2514,140.1822,46.47,55,100,7.4
86,Nanortalik,GL,2022-05-08 01:58:45,60.1432,-45.2371,38.53,77,100,2.8
87,Coquimbo,CL,2022-05-08 01:58:46,-29.9533,-71.3436,56.93,88,100,5.75
88,Cherskiy,RU,2022-05-08 01:58:46,68.75,161.3,30.13,94,100,15.88
89,Port Macquarie,AU,2022-05-08 01:58:47,-31.4333,152.9167,66.88,42,0,3.53
90,Luderitz,NA,2022-05-08 01:58:47,-26.6481,15.1594,53.01,77,0,16.46
91,Lake Havasu City,US,2022-05-08 01:54:09,34.4839,-114.3224,99.21,9,0,9.22
92,Carnarvon,AU,2022-05-08 01:56:05,-24.8667,113.6333,75.27,50,40,6.91
93,Ponta Do Sol,PT,2022-05-08 01:58:48,32.6667,-17.1,64.71,70,71,6.91
94,Severo-Kurilsk,RU,2022-05-08 01:59:49,50.6789,156.125,49.33,79,98,9.64
95,Grindavik,IS,2022-05-08 01:59:50,63.8424,-22.4338,45.07,100,100,27.63
96,Bambous Virieux,MU,2022-05-08 01:59:50,-20.3428,57.7575,75.22,88,75,6.91
97,Fukue,JP,2022-05-08 01:59:51,32.6881,128.8419,70.16,68,20,5.75
98,Saint-Joseph,RE,2022-05-08 01:58:54,-21.3667,55.6167,68.38,80,19,11.12
99,Sola,VU,2022-05-08 01:57:38,-13.8833,167.55,81.57,73,13,20.31
100,Chokurdakh,RU,2022-05-08 01:59:52,70.6333,147.9167,16.56,87,99,9.51
101,Ilulissat,GL,2022-05-08 01:59:53,69.2167,-51.1,9.23,87,2,5.79
102,Lompoc,US,2022-05-08 01:54:54,34.6391,-120.4579,62.85,70,0,21.85
103,Salalah,OM,2022-05-08 01:59:54,17.0151,54.0924,78.48,81,34,5.5
104,Taoudenni,ML,2022-05-08 01:59:54,22.6783,-3.9836,82.4,10,0,16.24
105,Tura,IN,2022-05-08 01:59:55,25.5198,90.2201,82.85,58,0,1.3
106,Emerald,AU,2022-05-08 01:59:55,-23.5333,148.1667,66.34,52,40,17.27
107,Faya,SA,2022-05-08 01:59:56,18.3851,42.4509,64.51,39,38,4.45
108,Paracuru,BR,2022-05-08 01:59:56,-3.41,-39.0306,78.12,91,100,11.99
109,Honningsvag,NO,2022-05-08 01:59:57,70.9821,25.9704,31.75,86,75,25.32
110,Ornskoldsvik,SE,2022-05-08 01:59:58,63.2909,18.7153,32.95,74,94,14.97
111,Kruisfontein,ZA,2022-05-08 01:59:58,-34.0033,24.7314,53.89,79,47,4.74
112,Santa Fe,AR,2022-05-08 01:57:55,-31.6333,-60.7,65.01,79,100,4.0
113,Klaksvik,FO,2022-05-08 01:59:59,62.2266,-6.589,45.52,81,100,16.69
114,Lake City,US,2022-05-08 01:59:13,30.1897,-82.6393,73.45,64,40,5.75
115,Lufilufi,WS,2022-05-08 02:00:00,-13.8745,-171.5986,82.18,75,24,13.44
116,Barrow,US,2022-05-08 02:00:01,71.2906,-156.7887,26.91,90,100,5.93
117,Bredasdorp,ZA,2022-05-08 01:58:59,-34.5322,20.0403,53.98,91,29,0.87
118,Talnakh,RU,2022-05-08 02:00:02,69.4865,88.3972,16.21,88,8,12.71
119,Iqaluit,CA,2022-05-08 02:00:03,63.7506,-68.5145,9.18,89,39,4.47
120,Lac Du Bonnet,CA,2022-05-08 02:00:05,50.2536,-96.0612,65.93,56,100,19.66
121,Maneadero,MX,2022-05-08 02:00:08,31.7167,-116.5667,64.09,78,28,3.0
122,Avarua,CK,2022-05-08 02:00:09,-21.2078,-159.775,80.87,76,62,6.4
123,Umba,RU,2022-05-08 02:00:12,66.6871,34.3429,33.12,83,91,11.16
124,Tutoia,BR,2022-05-08 02:00:14,-2.7619,-42.2744,77.95,87,100,6.91
125,Puerto Ayora,EC,2022-05-08 02:00:14,-0.7393,-90.3518,71.55,93,28,7.2
126,La Rochelle,FR,2022-05-08 01:57:12,46.1667,-1.15,53.67,87,0,8.05
127,Masvingo,ZW,2022-05-08 02:00:15,-20.0637,30.8277,61.79,59,84,3.4
128,Verkhniy Baskunchak,RU,2022-05-08 02:00:16,48.2256,46.7217,50.05,43,97,12.35
129,Dikson,RU,2022-05-08 02:00:17,73.5069,80.5464,9.32,96,91,12.24
130,Saravan,AM,2022-05-08 02:00:17,39.7196,45.6483,40.66,92,99,1.66
131,Pasighat,IN,2022-05-08 02:00:18,28.0667,95.3333,82.15,59,59,2.57
132,Nuuk,GL,2022-05-08 02:00:19,64.1835,-51.7216,30.81,93,5,11.5
133,Mar Del Plata,AR,2022-05-08 02:00:19,-38.0023,-57.5575,60.87,82,8,7.0
